1,2,3,4,5,6,7,8,9,10,11,12,14,16,34
1,2,3,4,5,6,7,8,15,17,18,24,26,33,35
1,2,3,4,5,6,7,8,9,10,11,16,19,24,30
1,2,3,5,10,11,12,14,18,20,22,29,44,57,59
1,2,3,4,5,6,7,8,9,10,11,12,14,16,27
1,2,3,4,5,6,7,8,9,10,13,15,16,19,46
1,2,3,4,5,6,7,8,9,10,13,15,17,21,26
1,2,3,4,5,6,7,9,10,11,12,14,20,21,30
1,2,3,4,5,6,7,8,15,18,19,22,24,0,0
1,2,3,4,5,6,7,8,9,10,12,15,16,29,37
1,2,3,4,5,6,7,8,10,11,13,17,18,45,49
1,2,3,4,5,6,7,9,11,12,14,20,21,47,90
1,2,3,4,5,6,7,8,9,10,11,12,14,16,23
1,2,3,4,5,6,7,8,9,10,13,15,19,21,29
1,2,3,5,6,7,8,9,10,11,13,16,19,28,52
1,2,3,4,5,6,7,10,12,15,18,20,22,26,37
1,2,3,4,5,6,7,8,9,11,12,14,21,29,47
1,2,3,4,5,6,7,8,9,10,15,16,17,24,29
1,2,3,4,5,8,9,10,11,13,19,23,25,42,56
1,2,3,4,5,6,7,9,12,15,20,26,37,39,40
1,2,3,4,5,6,7,8,9,10,11,12,14,16,27
1,2,3,4,5,6,7,8,9,10,13,15,17,23,25
1,2,3,4,5,6,7,8,9,10,11,13,16,17,29
1,2,3,4,5,6,7,8,9,11,13,17,25,27,32
1,2,3,4,5,6,11,12,14,18,20,28,31,33,35
1,2,3,4,5,7,8,9,10,11,12,14,25,29,42
1,2,3,4,5,6,7,8,9,11,12,14,16,33,48
1,2,3,4,5,6,7,8,9,10,11,13,19,21,36
1,2,3,4,5,6,7,12,15,18,20,26,33,35,37
1,2,3,4,5,6,7,8,9,10,11,12,14,21,27
1,2,3,4,5,6,7,8,9,10,11,13,16,19,30
1,2,3,4,5,6,7,8,9,10,11,13,19,21,36
1,2,3,4,5,6,7,10,13,15,18,19,20,22,26
1,2,3,4,5,6,7,8,9,10,11,12,14,16,28
1,2,3,4,5,6,7,8,9,15,17,21,24,29,47
1,2,3,4,5,6,7,8,10,11,13,18,19,22,23
1,2,3,4,5,6,7,11,12,14,18,20,30,35,41
1,2,3,4,5,6,7,8,10,13,15,18,19,22,26
1,2,4,5,6,7,8,9,10,11,12,14,28,39,55
1,2,3,4,5,7,8,9,10,11,13,19,25,27,42
1,2,3,4,5,6,7,9,10,11,12,14,20,21,46
1,2,3,4,5,7,8,11,13,18,19,29,42,43,47
1,2,3,4,5,6,7,8,9,10,13,15,16,19,23
1,2,3,4,5,8,9,10,13,15,19,21,30,44,57
1,2,3,4,5,6,7,9,10,11,12,14,16,20,30
1,2,3,4,5,6,7,8,9,10,11,12,14,16,34
1,2,3,4,5,6,7,8,10,13,15,17,18,28,43
1,2,3,4,5,7,8,9,10,11,13,19,25,42,45
1,2,3,4,6,7,8,9,11,12,14,16,27,40,53
1,2,3,4,5,6,7,9,10,12,15,20,21,30,37
1,2,3,4,5,6,7,8,10,11,12,14,18,22,26
1,2,3,4,5,6,7,8,9,13,15,16,17,23,32
1,2,3,4,5,6,7,8,9,10,13,15,16,19,29
1,2,3,4,6,7,10,11,12,14,18,20,22,36,38
1,2,3,4,5,6,8,9,10,11,13,19,25,27,56
1,2,3,4,5,6,7,8,10,11,13,18,19,27,43
1,2,3,4,5,6,7,8,9,10,11,13,17,23,25
1,2,3,4,5,6,7,10,11,12,14,18,20,22,28
1,2,3,4,5,6,7,8,9,10,11,13,17,21,27
1,2,3,4,5,7,8,10,11,12,14,18,22,34,64
1,2,3,4,5,6,7,8,11,17,18,24,26,33,35
1,2,3,4,5,6,7,10,11,12,14,18,20,22,28
1,2,3,4,5,6,7,8,10,12,15,18,26,35,37
1,2,3,4,5,6,7,8,9,10,12,15,16,28,37
1,2,3,4,5,6,7,8,10,11,13,18,19,22,30
1,2,3,4,5,10,12,15,18,20,26,35,37,44,67
1,2,3,4,5,6,7,8,9,10,13,15,16,17,23
1,2,3,4,5,6,7,8,9,10,13,15,17,23,39
1,2,3,4,5,6,8,9,10,11,13,16,17,23,31
1,2,3,4,5,6,7,8,9,11,12,14,21,34,40
1,2,3,4,5,6,7,10,11,12,14,18,20,22,27
1,2,3,4,5,6,8,9,10,11,13,17,25,31,48
1,2,3,4,5,6,7,8,9,10,11,13,17,21,23
1,2,3,4,5,6,7,8,9,10,11,17,21,24,46
1,2,3,4,5,6,7,9,11,12,14,20,39,0,0
1,2,3,4,5,6,7,8,9,10,11,12,14,16,30
1,2,3,4,5,6,7,8,9,11,12,14,16,32,45
1,2,3,4,5,8,10,11,12,14,18,26,44,49,71
1,2,3,4,5,6,7,10,15,18,19,20,22,24,28
1,2,3,4,5,6,7,8,9,10,11,13,17,25,27
1,2,3,4,5,6,7,8,9,10,11,13,16,17,34
1,2,3,4,5,6,7,8,9,10,12,15,17,21,30
1,2,3,4,5,11,12,14,18,20,26,41,44,49,75
1,2,3,4,5,6,7,8,9,11,13,17,21,26,33
1,2,3,4,5,6,7,8,9,10,11,12,14,16,36
1,2,3,4,5,6,7,8,9,10,13,15,16,17,29
1,2,4,5,6,7,9,10,11,12,14,20,36,39,55
1,2,3,4,5,6,8,9,11,13,16,17,31,0,0
1,2,3,4,5,6,7,8,9,10,11,12,14,16,30
1,2,3,4,5,7,8,9,10,11,13,19,23,25,42
1,2,3,4,5,6,7,9,10,11,12,14,16,20,30
1,2,3,4,5,6,7,8,9,10,13,15,17,21,23
1,2,3,4,5,8,9,10,13,15,17,21,29,31,0
1,2,3,4,5,7,8,10,11,13,17,18,22,28,65
1,2,3,4,5,6,7,8,9,10,11,13,17,21,23
1,2,3,4,5,7,11,12,14,18,20,22,28,32,87
1,2,3,4,5,7,8,9,10,11,12,14,25,26,72
1,2,3,4,5,6,7,8,9,10,11,13,16,17,30
1,2,3,4,5,6,7,8,9,10,13,15,19,21,34
1,2,3,4,5,6,9,15,19,20,21,24,29,31,33
