1,unknown-0
2,unknown-1
3,unknown-2
4,unknown-3
5,unknown-4
6,United-States
7,White
8,<=50K
9,unknown-8
10,Private
11,Male
12,Married-civ-spouse
13,unknown-12
14,Husband
15,Female
16,HS-grad
17,unknown-16
18,unknown-17
19,Not-in-family
20,>50K
21,Some-college
22,unknown-21
23,unknown-22
24,Divorced
25,unknown-24
26,Prof-specialty
27,Craft-repair
28,Exec-managerial
29,Adm-clerical
30,Sales
31,Black
32,Self-emp-not-inc
33,Local-gov
34,Machine-op-inspct
35,Masters
36,Transport-moving
37,Wife
38,unknown-37
39,Assoc-voc
40,State-gov
41,Self-emp-inc
42,unknown-41
43,Assoc-acdm
44,Asian-Pac-Islander
45,Farming-fishing
46,Tech-support
47,Federal-gov
48,Protective-serv
49,Prof-school
50,unknown-49
51,Doctorate
52,unknown-51
53,unknown-52
54,Amer-Indian-Eskimo
55,unknown-54
56,unknown-55
57,Philippines
58,unknown-57
59,unknown-58
60,Germany
61,Puerto-Rico
62,Canada
63,unknown-62
64,unknown-63
65,Cuba
66,England
67,China
68,South
69,Jamaica
70,Italy
71,Japan
72,Poland
73,Haiti
74,Portugal
75,Taiwan
76,Iran
77,Greece
78,Ecuador
79,France
80,unknown-79
81,unknown-80
82,unknown-81
83,Thailand
84,Hong
85,Cambodia
86,unknown-85
87,Without-pay
88,Honduras
89,Hungary
90,Armed-Forces
91,unknown-90
92,unknown-91
93,unknown-92
94,unknown-93
95,unknown-94
96,unknown-95
97,Holand-Netherlands
